DATA,COMENTÁRIO,SENTIMENTO
16 de julho de 2018,App completo ótima opção para controlar dietas,1
18 de novembro de 2017,Excelente,1
26 de julho de 2018,Ótimo,1
27 de setembro de 2017,Prático,1
3 de junho de 2020,EXCELENTE,1
13 de março de 2017,Ajuda e muito a controlar o tanto de calorias que comemos e perdemos amei!!!,1
3 de novembro de 2011,Ótimo!!,1
1 de dezembro de 2018,Toop. Rexomendo,1
5 de março de 2019,Cumpri o prometido. Ótima ferramenta de reeducação.,1
27 de novembro de 2020,MT bom,1
19 de março de 2018,Muito bom o App só acho que a versão paga deveria ter mais funcionalidades.,0
9 de março de 2020,Eu gostei pois calcula cada macro nutriente da refeição é simples de mexer no meu caso não trava e se tem o alinhamento que vai consumir é simples e fácil de acrescentar na lista de alimentos.,1
29 de abril de 2020,Excelente,1
9 de maio de 2017,Muito bom,1
15 de abril de 2012,Ótimo controle da alimentação,1
5 de outubro de 2019,Gostei muito e super recomendo.,1
19 de março de 2015,muito bom,1
22 de janeiro de 2020,Excelente pra quem precisa controlar o que come.,1
14 de dezembro de 2015,Gostei muito da ajuda do App. Facilitou muito acompanhar a dieta dessa forma. Valeu!,1
23 de agosto de 2019,Comecei a usar o aplicativo a pedido da minha treinadora. Ele é basicamente o meu diário da dieta! Consigo ter todos os dados que preciso para o controle da minha alimentação e exercícios. Estou amando!,1
7 de junho de 2020,Muito bom.,1
22 de outubro de 2020,Ótimo,1
13 de fevereiro de 2020,muito bom,1
15 de novembro de 2020,Tem no ajudado muito a contar as calorias e saber quantas calorias estou queimando,1
12 de março de 2019,Muito bom,1
29 de outubro de 2020,Gosto bastante,1
15 de dezembro de 2015,Ótima experiência,1
17 de julho de 2018,Muito bom nos ajuda bastante,1
8 de junho de 2020,To tentando adicionar Refeição clico e não aparece nada. Tentei em outro aparelho e não consegui. Ajuda?,0
8 de setembro de 2020,Otimo,1
31 de outubro de 2019,Ajuda muito,1
10 de setembro de 2020,Está me ajudando muito na dieta. adorei!❤,1
4 de maio de 2016,E muito bom!!! Podem baixar...,1
7 de agosto de 2019,Ótimo para emagrecer e musculação,1
15 de fevereiro de 2016,Melhor aplicativo não existe.,1
3 de dezembro de 2016,Excelente app pra controle de dieta. Pra mim é o melhor.,1
21 de setembro de 2019,Maravilhoso controle total das calorias diárias,1
23 de agosto de 2017,Esse programa ja me ajudou com a dieta ha uns anos e agora ta me ajudando de novo. Indico sempre pra todoa,1
26 de junho de 2019,Top,1
10 de novembro de 2020,Esse app é show. Adoro,1
21 de agosto de 2019,Muito prático e e simples de usar.,1
13 de janeiro de 2021,Ótimo aplicativo,1
1 de setembro de 2018,Simplesmente amei!,1
15 de maio de 2020,Está me ajudando muitorecomendo!,1
21 de março de 2017,Muito bom,1
9 de fevereiro de 2019,Muito bom e completo,1
15 de setembro de 2014,App simples e intuitiva Boa,1
15 de novembro de 2017,Muito bom,1
20 de julho de 2020,Muito shows,1
9 de maio de 2016,"Muito bom mas poderia ter a opção de desativar o """"""""arrastar para esquerda para excluir"""""""" vivo excluindo sem querer.",0
19 de agosto de 2020,Tem me ajudado muito.,1
13 de julho de 2019,O melhor!,1
22 de maio de 2020,Ótima versão,1
6 de janeiro de 2016,Estou satisfeita com esse app me ajuda muito !!,1
26 de setembro de 2018,Muito bom porém poderia ter também um lembrete de beber água para ajudar.,1
7 de março de 2017,Maravilhoso,0
12 de novembro de 2018,Ajudamdo mto,1
18 de novembro de 2018,Melhorou bastante o app.,1
29 de junho de 2020,Ótimo. Quem faz dietas de contando calorias. Vc ainda pode incluir produtos e se desinstalar o aplicativo seus dados ficam salvos.,1
10 de setembro de 2019,Muitooo bom...recomendoo,1
12 de julho de 2017,Ótimo !!,1
10 de agosto de 2020,Muito pratico,1
3 de dezembro de 2013,Ótimo,1
20 de janeiro de 2018,Super prático! Adorei!,1
10 de agosto de 2018,maravilhoso Atende bem as expectativas,1
4 de outubro de 2017,Melhor App do mundo!😉,1
1 de agosto de 2019,Muito bom,1
6 de novembro de 2018,Ajuda total,1
3 de outubro de 2019,Ajuda a ficar na linha na dieta rs,1
8 de setembro de 2016,Perfeito! Está me ajudando muito.,1
7 de fevereiro de 2020,Tem me ajudado muito! Recomendo...,1
16 de agosto de 2018,Gosto muito desse App com ele consigo contar os carbos net na dieta low carb,1
5 de novembro de 2015,Ótimo ajuda muito a controlar minha alimentação e meu peso!,1
16 de agosto de 2020,Muito pratico de usar!,1
23 de novembro de 2018,App muito bom não conheço outro melhor do ele.,1
17 de dezembro de 2020,Não tenho do que reclamar,1
16 de janeiro de 2018,Maravilhoso,1
25 de agosto de 2020,Muito top...mesmo a versão grátis.,1
7 de fevereiro de 2016,Adoro o app!! Me ajuda muito!! Sem anúncios e não trava!,1
11 de junho de 2020,Ajuda muito!,1
24 de outubro de 2018,Excelente,1
9 de setembro de 2015,Este App é maravilhoso! Está me ajudando muito no meu emagrecimento.,1
24 de agosto de 2016,maravilhoso! ajuda bastante alcançar o objetivo de perda ponderal e ainda orienta composição de dieta para que você planeje uma alimentação mais saudável. indico!!,1
5 de abril de 2020,aplicativo muito bom!!!,1
14 de maio de 2019,Amei o aplicativo pois tudo que preciso ele tem!! Obrigada aos criadores..,1
7 de março de 2019,Ótimo,1
15 de julho de 2020,Contabilizando minhas calorias cheguei no meu objetivo.,1
24 de junho de 2016,😊,1
7 de março de 2020,Ótimo,1
28 de junho de 2019,Ótimo aplicativo muito útil...,1
12 de abril de 2016,Adorei,1
13 de novembro de 2019,muito útil para controlar a ingestão de calorias,1
17 de outubro de 2017,Ajuda muito principalmente na dieta cetogênica!,1
19 de maio de 2019,fácil de entender,1
19 de setembro de 2019,Amo esse app. Me ajuda muitoooo,1
6 de junho de 2019,Muito bom tem me ajudado muito!,1
8 de agosto de 2020,👏,1
23 de novembro de 2020,Adoro. Já utilizo há 4 anos e só tem melhorado. Ajuda e auxilia muito na dieta. Aprovado!,1
15 de junho de 2020,Excelente,1
28 de junho de 2018,Muito bom está me ajudando muito,1
23 de abril de 2020,Queria que funcionasse offline,0
12 de novembro de 2020,Curto,1
29 de maio de 2018,Muito bom,1
28 de junho de 2016,Muito bom. Está me ajudando a emagrecer.,1
30 de agosto de 2015,Ótimo .. estou me divertindo e aprendendo sobre as calorias .. super recomendo !!!,1
3 de março de 2017,Muito bom o mlhr e mais completo da o grafico da evolução e tem td sobre qualquer alimento o mlhr,1
25 de agosto de 2020,Ótimo app!,1
4 de setembro de 2017,Edeal para quem quer fazer controle de calorias ou de consumo de carboidratos. Faço alimentação LowCarb não sei o que seria de mim sem ele.,1
15 de novembro de 2019,O melhor,1
9 de maio de 2019,Melhor App para controle do emagrecimento.,1
1 de janeiro de 2017,Ótimo,1
25 de julho de 2018,Aplicativo muito prático e colaborativo.,1
10 de outubro de 2017,Otimo!,1
24 de fevereiro de 2018,Esse app é realmente muito bom!,1
2 de janeiro de 2021,Otimo app pra agendar todos os seus passos durante dieta. Ajuda muita e facilita muito no dia a dia.,1
7 de fevereiro de 2018,Muito bom mesmo para quem está procurando um emagrecimento saudável . Nos auxiliar em várias horas em que NÃO sabemos por onde comessar.,1
9 de dezembro de 2017,Gosto muito desse App ele é ótimo nunca deu problema!💛,1
22 de março de 2019,Eu adoro. Consigo me controlar mais com ele. Além de dar um estímulo a mais. Recomendo.,1
21 de março de 2021,Fácil de usar.,1
19 de maio de 2020,Adorei com esse aplicativo estou conseguindo seguir minha dieta e ainda não passo vontade de comer o que gosto pois tenho um ótimo controle com a ajuda do aplicativo.,1
26 de janeiro de 2013,Muito bom. Fazer a low carb fica mais fácil com esse app.,1
19 de agosto de 2018,Muito bom,1
20 de novembro de 2019,Está me.anjudando demais,1
22 de setembro de 2016,App muito bom! Controle de peso e alimentação maravilhoso.,1
4 de setembro de 2020,Muito bom o aplicativo para controle de calorias. Sabendo alterar as medidas pré definidas nos alimentos fica bem preciso fiquem atentos em as vezes alterar para gramas os alimentos pra poderem colocar exatamente a medida consumida. Vale a pena utilizar.,1
6 de outubro de 2018,Nunca consegui controlar minha alimentação tão bem mas é tudo diferente depois que eu comecei a usar o Fatsecret. É outra história com com esse aplicativo. Show de bola!,1
6 de maio de 2017,App fácil simples e funcional.,1
21 de outubro de 2018,Muito bom esse app ajuda demais! É um grupo em busca do mesmo objetivo. É um ajudando o outro sem julgamentos. Parabéns fatsecret!,1
7 de setembro de 2020,Volto p dizz,1
30 de junho de 2017,Aplicativo fácil de usar com muitos alimentos cadastrados.,1
8 de junho de 2016,O melhor contador de calorias,1
24 de setembro de 2019,Funciona muito bem,1
6 de outubro de 2015,Prático e fácil de usar! Recomendo.,1
29 de janeiro de 2020,Excelente app! Bem completo.,1
11 de maio de 2018,Otimo app pra quem quer perder peso!,1
10 de julho de 2020,Muito bom,1
29 de abril de 2019,Adorei esse app,1
12 de setembro de 2016,Muito bom e eficiente o melhor app que já usei.,1
11 de setembro de 2018,Top,1
11 de fevereiro de 2018,Estou emagrecendo sem passa fome e comendo coisas que gosto,1
18 de fevereiro de 2016,Ótimo se levado a sério uma forma de não perder o controle e chegar ao objetivo.,1
14 de fevereiro de 2020,Muito bom,1
16 de julho de 2020,Gostei muito,1
27 de agosto de 2020,Amei,1
31 de outubro de 2013,Muito bom,1
16 de junho de 2015,Não conseguia manter a dieta até ter ele o diário alimentar ajuda muito! Se você escrever realmente tudo que come hehe,1
3 de novembro de 2016,melhor aplicativo ajuda muito mesmo,1
25 de setembro de 2017,Tem me ajudado muito na conquista do meu objetivo. Já perdi 10 quilos em dois meses.,1
20 de fevereiro de 2019,gratuito e com variedade de alimentos pra busca na lista. é possível acompanhar a meta é ver os tipos de alimentos ingeridos e as refeições onde o consumo é maior. muito bem projetado.,1
24 de agosto de 2020,Excelente!,1
11 de janeiro de 2019,Ótimo para acompanhamento da dieta e dos exercícios,1
26 de setembro de 2018,Gosto muitoe ajudou-me a perder muito peso,1
15 de setembro de 2018,Programa muito bom para controlar o peso através da alimentação.,1
26 de junho de 2016,Ótimo para seguir uma alimentação balanceada,1
21 de setembro de 2019,Adorando,1
13 de agosto de 2018,°•¤Corpo sadio sem sobrepeso¤•°,1
26 de maio de 2020,Simples e fácil de utilizar,1
15 de agosto de 2018,Sou diabética e facilita muito a contagem de carboidratos. PERFEITO!!!,1
16 de julho de 2020,Aplicativo show,1
24 de fevereiro de 2016,Esse aplicativo e muito bom mostra quanto ingerimos e porcentagens legal,1
24 de janeiro de 2018,muito bom!,1
3 de agosto de 2016,Perfect!!!!,1
24 de julho de 2019,Aplicativo muito útil para acompanhamento do consumo diário e atividades físicas. Só faltam acrescentar 2 coisas: - registro de água ingerida,1
20 de novembro de 2020,Muito bomm,1
17 de outubro de 2017,Excelente.,1
3 de maio de 2018,Ótimo!,1
1 de maio de 2016,Excelente app!! Completo e sempre atualizado. Em 1 mes de uso ja perdi 7kg.,1
3 de outubro de 2017,Excelente !!,1
6 de agosto de 2011,Bom app pra controle no low carb,1
31 de dezembro de 2017,Excelente aplicativo. Parabéns,1
12 de maio de 2017,Muito bom !!!!,1
3 de abril de 2020,Ótimo está me auxiliando muito,1
6 de dezembro de 2016,Otimo para calculo de calorias,1
22 de junho de 2020,Vai me ajudar bastante,1
25 de novembro de 2019, E falta sincronizar as informações de meta inseridas a partir de dispositivos diferentes.,0
25 de novembro de 2019,Tb Não está sincronizando exercícios com o mapmyride ambos atualizados.,0
25 de novembro de 2019,Preciso reverter para a versão anterior como faz? Estou louca sem a visualização das calorias em verde e vermelho! ,0
17 de novembro de 2017,Infelizmente o app não possui modo escuro eu particularmente sinto bastante falta,0
17 de novembro de 2017,Sinto que ele poderia ser mais otimizado percebi uma lentidão na hora de iniciar o app e tenho um celular bom. ,0
17 de novembro de 2017,Aplicativo muito bom sem bugs e com uma base de dados de alimentos muitos grande. ,1
28 de março de 2021,O aplicativo tem sua utilidade mas a sincronização com os outros aplicativos da própria desenvolvedora é horrível o Run o Ride o Fitness o Walk é sempre confusa a sincronização horas contabiliza as calorias horas não horas vc consegue colocar foto do treino horas não puxar foto da galeria,0
29 de março de 2021,"Mas no modo gratuito ele é sensacional, tem me ajudado numa longa caminhada rumo a minha saúde! Claro que alimentos saudáveis não só contar calorias e exercícios cuidar da mente dormir bem.... ainda bem que alguém pensou nesse aplicativo. Conheci através da Pauladietaflex",1
27 de março de 2021,Não consigo usar o app quando tento criar um cadastro sempre aparece um aviso que não é possível usar aquele nome de usuário e já tentei vários diferentes.,0
31 de março de 2021,Migrando para outro app porém quando corrigirem eu tiro o comentário de 1 estrela.,0
31 de março de 2021,Gastei alguns minutos cadastrando e no fim ele não valida meu nome de usuário tentei vários e não deu certo. ,0
27 de março de 2021,Só queria informações sobre o pacote Platinum fiz todo o processo de pagamento mais ainda não desbloquearam.,0
27 de março de 2021,Aplicativo muito bom estou tendo muito resultado. ,1
28 de março de 2021,Não aceita nenhum nome de usuário já coloquei todos possíveis e até qualquer letras. Não consigo nem terminar o cadastro.,0
31 de março de 2021,Fica as vezes mais de 2min carregando para poder abrir e isso atrapalha muito outros aplicativos abrem praticamente instantâneamente no meu smartphone só para vonstar que é erro do aplicativo. ,0
27 de março de 2021,Ele só poderia disponibilizar os alimentos offline porque moro na roça e as vezes não tenho sinal e depois esqueço de anotar o que comi.,0
28 de fevereiro de 2021,É um aplicativo ótimo mais acredito que com as novas tecnologias ele poderia ter atualizações para vincular como por exemplo com o Mi Fit Google Fit.,0
17 de março de 2021,Excelente app estou administrando os macros da minha dieta perfeitamente e a sincronização com meu app gerenciador smartwatch adicionando as calorias perdidas em exercícios o deixa excepcional e completo.,1
18 de março de 2021,Estou tendo problemas em adicionar alimentos diferentes no meu diário. Diz que não está conectado a internet. Mas eu estou conectada.. inclusive escrevendo agora aqui. Rsss.,0
13 de março de 2021,O App vale a pena. Em 3 meses fui capaz de perder 6Kg apenas controlando meus alimentos sem precisar me reprimir dos meus gostos. (Sem exercícios de academia apenas caminhadas).,1
10 de março de 2021,Aplicativo excelente para quem quer emagrecer sem neurose podemos comer o que der vontade desde que seja feito o planejamento já perdi 6kg e não sofri um único dia.,1
23 de março de 2021,O blog e a comunidade estão dando erro para abrir e é meio solitário não ter essas opções.,0
14 de março de 2021,Mas tem alguns dias que ou demora pra abrir ou diz que está dando problemas continuamente e não abre.,0
15 de março de 2021,Falta atualizações sempre. Considero o banco de dados ainda limitado.,0
22 de março de 2021,Ainda estou começando a usar... mas to amando 👈 super completo com gráficos de visibilidade por tipo de alimento ..várias informações pra adm alimentar ..PARABÉNS aos desenvolvedores APP SHOW,1
15 de março de 2021,Mais tive dificuldade em usar as várias opções disponíveis. Deveria ser mais simple.,0
2 de março de 2021,Simplesmente horrível até agora não consegui criar a minha contatoda vez que eu coloco a minha data de nascimento diz que não é possível realizar o cadastro e é pra tentar mais tarde cara eu já tô a DUAS SEMANAS tentando criar a minha conta . ,0
7 de março de 2021,A app é boa mas podia sincronizar com outros aparelhos eu tenho um relógio xiaomi e não baixa os dados de passos e/ou desporto.,0
23 de fevereiro de 2021,ATENÇÀO!!! Horrível!!! Sou usuário Premium e os números de macro nutrientes e a quantidade de calorias simplesmente não fecham a conta!! Maior quantidade de calorias do que deveria ser direto as contas não fecham!! Erros bizarros de contas simples!!! Os cálculos totais são errados!!,0
20 de fevereiro de 2021,O melhor app! My FitnessPal foi um app que mudou minha vida me ajudou a emagrecer e controlar os alimentos que eu como para ter uma vida mais saudável! Incrível.,1
28 de fevereiro de 2021,App não conversa com Samsung contador de passos não identifica fraco com relação ao acompanhamento sem acesso ao blog fica muito solitário. Não gostei e em 2 dias já quero cancelar,0
28 de fevereiro de 2021,O aplicativo também não permite regravar ou apagar uma atividade para renomear.,0
28 de fevereiro de 2021,Quando colocamos atividade o app coloca que a menos a queima de calorias. ,0
18 de março de 2021,Olá! Estou com problemas para acessar o app toda vez que entrar ele demora muito para acessar a página inicial.,0
16 de março de 2021,Bastante útil e intuitivo. ,1
16 de março de 2021,De lamentar que não faça conexão com a app MiFit para quem tem Mi Band.,0
22 de fevereiro de 2021,Gosto muito dele mas de um tempo pra cá está dando muito problema não abre de jeito nenhum.,0
24 de fevereiro de 2021,É muito bom. Já estou usando a algum tempo e estou gostando muito. Consigo monitorar as calorias com muita facilidade.,1
5 de março de 2021,Até mesmo a contagem de passos está com bug. Quando o app Samsung Health está conectado aparece mensagem de erro.,0
5 de março de 2021,Há bugs na sincronização de atividades. ,0
23 de março de 2021,O app parou de funcionar do nada! Ele fecha automaticamente quando clico pra abri-lo.,0
4 de março de 2021,Completo e ajuda muito para controlar o consumo de calorias. Excelente para quem está querendo perder peso.,1
22 de março de 2021,Muito bom o app... Tem me ajudadi muito na perca de peso pois controlo as calorias consumidas.. Mas nao sei o que houve. Hoje nao esta funcionando.,1
1 de março de 2021,Excelente app para marcar suas calorias e seus macros,1
23 de março de 2021,aplicativo bom mas não recomendo pra quem tem transtorno alimentar.,0
11 de março de 2021,No final do cadastro marca que estou sem internet sendo que está tudo ok fica dando esse erro eu já usei era tempo que esse App era bom me ajudem preciso muito usa lo pra minha perda de peso,0
23 de março de 2021,Não consigo nem sequer fazer meu registro. Não aceita o nome de usuário. Já coloquei de tudo de tudo mesmo.,0
16 de março de 2021,A melhor app para quem quer controlar o peso e fazer uma alimentação nutricionalmente equilibrada.,1
27 de março de 2021,Esse app é sensacional não largo nunca mais!,1
3 de março de 2021,Gosto muito. Já experimentei vários apps e sempre volto pra esse.,1
25 de fevereiro de 2021,Muito bom,1
22 de novembro de 2017,Gostei do oferecido para ajudar-me a atingir o meu objetivo.,1
26 de janeiro de 2015,Óptimo,1
4 de março de 2018,acho sensacional sou atleta e quando nao estou em dieta restrita para competição uso no meu dia a dia para manter o controle sobre as refeições impossível não entrar na linha com esse app,1
17 de outubro de 2016,Top,1
1 de agosto de 2019,Sempre que preciso fazer dieta aliás controlar a boca uso este aplicativo e rapidinho obtenho meu objetivo... muito bom,1
14 de julho de 2020,Tem uma grande lista de alimentos cadastrados. Boa integração com as demais aplicações. Recomendo!,1
20 de janeiro de 2016,Muito bom! Utilizo ele com o Garmin Connect e acho muito útil pra auxiliar no emagrecimento!,1
20 de novembro de 2019,Muito bom!,1
10 de agosto de 2018,Muito bom pra regrar as calorias...,1
31 de agosto de 2017,So posso fala que e legal,1
4 de agosto de 2015,Fácil de usar muito bom!,1
13 de outubro de 2016,Ótimo,1
24 de agosto de 2018,Muito bom..adorei só tem que melhorar na parte que mostra quanto bebemos de água!,1
27 de dezembro de 2017,App muito bom ajuda bastante a conhecer a alimentação diária dentro da proposta individual de emagrecimento.,1
19 de novembro de 2014,Perfeito !,1
25 de janeiro de 2019,Otimo,1
6 de setembro de 2019,Otimo recomendo,1
27 de setembro de 2016,Finalmente consigo contar as calorias,1
9 de abril de 2015,muito bom!,1
26 de janeiro de 2017,Booooooomm,1
28 de janeiro de 2018,Muito bom,1
19 de setembro de 2014,Muito bom,1
16 de março de 2015,Too top,1
8 de dezembro de 2014,Um super apoio para quem nao tem noção de como manter a dieta calórica . Adorei!,1
30 de setembro de 2020,Excelente,1
3 de abril de 2019,Ótimo,1
26 de junho de 2018,O MELHOR!!,1
11 de junho de 2020,Muito bom para ver onde estamos exagerando,1
11 de agosto de 2018,Muito bom. Só que não estou conseguindo adicionar os exercicios,1
27 de outubro de 2013,Perfeito 👌,1
24 de outubro de 2014,O melhor,1
13 de junho de 2018,Excelente,1
5 de outubro de 2015,Amazing,1
17 de abril de 2015,Ótimo app! Fácil e prático. Indico,1
30 de maio de 2015,Mto bom. N trava,1
28 de setembro de 2020,Muito bom!,1
29 de janeiro de 2014,Fácil de usar,1
1 de junho de 2014,Muito bom!,1
27 de novembro de 2014,Muito bom,1
17 de janeiro de 2014,Muito bom,1
21 de agosto de 2014,excelente consigo contar meus macros mesmo na versão grátis!,1
12 de maio de 2015,Perfeito,1
10 de janeiro de 2019,Ótimo,1
25 de janeiro de 2015,Muito bom,1
23 de dezembro de 2014,Mto bom!!,1
9 de outubro de 2015,excelente,1
1 de maio de 2014,Ótimo,1
17 de fevereiro de 2019,Muito bom,1
23 de agosto de 2018,Muito bom melhorou muito com a opção de leitor de código de barras para busca de alimentos.,1
12 de junho de 2018,O melhor já perdi 15 kg com ele...,1
21 de julho de 2019,Muito bom mesmo,1
20 de fevereiro de 2019,Muito bom,1
26 de maio de 2015,muito bom,1
7 de agosto de 2017,Maria,1
1 de março de 2019,Até o momento está me ajudando a controlar o que como e a quantidade de água que bebo... Estou gostando mto do app,1
28 de maio de 2015,O melhor,1
6 de julho de 2017,Melhor de todos sem dúvidas,1
2 de dezembro de 2017,Sensacional!,1
9 de novembro de 2020,Muito bom,1
18 de setembro de 2014,Estou amando! Esta com as calorias sobre controle é o maximo....,1
