DATA,COMENTÁRIO,CLASSIFICAÇÃO
2020-02-17,Não façam e impossível cancelar a assinatura e se exclui a conta continua cobrando,2
2020-02-15,NAO FAÇA O TESTE DE 7 DIAS SENAO VAI FICAR COBRANDO DO SEU MERCADO PAGO OU CARTÃO MESMO QUE EXCLUA A CONTA,5
2020-02-15,Não consigo cancelar minha assinatura,2
2020-02-15,"Fui usar o teste grátis e me roubaram 147,00 da minha conta eu não autorizei o pagamento e nem quis o app pro e mesmo assim me roubaram",5
2020-02-11,Instalei o aplicativo e passou 1 mês e debitaram no meu cartão de crédito $ 147,5
2020-02-05,"Fiz uma assinatura Premium mas antes em 3 dias cancelei e mesmo assim veio a cobrança, impossível fazer qualquer coisa no aplicativo",5
2020-01-24,Não me deixaram cancelar e agora cobraram 147,2
2020-01-16,"Quero cancelar minha assinatura porém diz que não é possível, para tentar mais tarde",2
2020-01-16,"estou tentando cancelar pq não gostei e não consigo, quase impossível cancelar a conta e está tudo em inglês, estou muito arrependida de ter instalado!",2
2020-01-13,"É quase impossível cancelar a assinatura premium, um absurdo! Cuidado extremo ao assinar isso! E os canais de comunicação são todos internacionais!",2
2020-01-10,"Nem finalizei o cadastro, MTA solicitação de uso de dados",5
2020-01-03,"Nao eh totalmente português, oq dificulta vc colocar oq vc comeu pq os ingredientes n estao na nossa lingua",1
2020-01-01,"Eu cancelei minha assinatura durante o período de trial e mesmo assim cobraram o valor anual! 147,90 cobrados sem meu consentimento!",5
2019-12-26,"De uns tempos pra cá, a busca está bagunçada e você não encontra mais os alimentos",3
2019-12-24,"tentei por várias vezes fazer o cancelamento pois o aplicativo não atendeu minhas expectativas, mas so dava erro ao entrar no aplicativo",2
2019-12-23,"No caso o valor era de R$ 12,33 por mês entretanto foi cobrado o valor integral de R$ 147,99 e sem ao menos uma notificação",5
2019-12-19,Como assim tem que ser maior de 18 anos pra usar??? Vai tom********,1
2019-12-19,Esse app é enganoso,5
2019-12-18,Não consigo nem finalizar o cadastro pela demora da atualização de dados!!!,4
2019-12-03,"Chegando a ser meio confuso, a versão paga não traz quase que nenhum benefício, vocês podiam fazer gráficos interativos que incentivem o usuário a manter o foco, dizendo se ele está no caminho certo, como uma balança gráfica ou sei lá",1
2019-11-27,"Estou tentando cancelar a assinatura Premium já faz mais de 20 dias e não consigo, ainda fizeram cobrança no meu cartão sem autorização e eles não resolvem só mandam um montem de instrução que devo seguir que realizo e nada resolve, aviso que não deu certo as instrução e eles voltam a enviar as instrução como se eu não tivesse realizado anteriormente",5
2019-11-18,forçando pra eu pagar o Premium? Chateada demais,3
2019-11-18,Eu cancelei minha conta e não obtive o retorno do dinheiro,5
2019-11-16,Não consegui adicionar nenhuma refeição É OBRIGATÓRIO aceitar o uso dos seus dados pela empresa,2
2019-11-14,"Queria poder dar 5 estrela como todos fazem, mas nao to conseguindo nem achar um nome pro meu login",2
2019-10-23,Estou quase deletando pois não está funcionando corretamente,2
2019-10-18,Estou tentando cancelar a assinatura Premium e não estou conseguindo,2
2019-10-16,Quando finalizo o preenchimento dos dados aparece uma mensagem dizendo que os dados estão incorretos,2
2019-10-16,Cortei a internet do app e ele não abre,2
2019-10-16,"Eu acho muito chato ter essa coisa de somente maiores de idade poderem usar o App, somente adultos querem ganhar/perder massa e melhorar os hábitos alimentares?? Claro que não, e se eu der idade falsa as contas de calorias, macronutrientes, etc, vão sair totalmente erradas",1
2019-10-15,"Me iludiram com 1 mes de assinatura gratis, e ao final do mes de teste, ao inves de cobrar mensalmente, o app me cobrou uma fatura anual de 147,99 reais, sem ao menos me comunicar",5
2019-10-12,Não aceitam minha data de nascimento!,2
2019-10-10,"Estava tudo perfeito até perder o sincronismo com o Samsung health, quando voltar a funcionar volta a ter 5 estrelas",2
2019-10-09,"Tentei vários email diferentes, tentei com o meu Facebook com o do meu marido, mas não concegui me ajudem por favor",2
2019-10-09,não habilita o registre-se,2
2019-10-03,Estão cobrando assinatura sem sequer ter sido feita,5
2019-10-02,"Uma pena não aceitarem cadastro de menor de idade, gostaria muito de usar o aplicativo mas vi que não tem suporte pra isso",1
2019-09-22,Há registros de vazamento de informações dos usuários,5
2019-09-14,"Assinei aquele 1 mês grátis do Premium, só que está cobrando na minha fatura do cartão",2
2019-09-12,Do nada parou de funcionar desinstalando,2
2019-09-10,Se desse para fazer o registo ate era bom,2
2019-09-04,"Solicito a devolução do meu dinheiro, não comprei nem autorizei descontar do meu cartão o valor de 149 reias",5
2019-09-04,"Só aparece os alimentos que tinha no histórico, do dia anterior",2
2019-09-03,Hoje em dia nem funciona direito,2
2019-08-30,"Não reconhece os relógios da Amazfit, uma pena",0
2019-08-28,"App muito bom, porém fiz a ativação do pacote Premium por um mês no valor de 15 reais onde foi pago no meu cartão de crédito e agora eles passou no meu cartão o valor de 147,99 sem saber se eu iria querer continuar com o plano, agora estou tentando entrar em contato com alguém do app e não estou conseguindo",5
2019-08-27,Não consegui me cadastrar,2
2019-08-24,Também não funciona com meu honor band 4 e o app Health da Huawei,2
2019-08-24,"Muito ruim!! Não tem como escolher a quantidade, só tem a opção de 100 gr se comer 80gr não tem como colocar!!! não gostei!!",1
2019-08-18,nunca consegui usar a app,2
2019-08-12,Poquíssimos alimentos são verificados e as opções são extremamente poluídas,3
2019-08-10,"Já criei até um novo email, mas aparece sempre a mesma mensagem, não iniciando realmente as funções do aplicativo",2
2019-08-07,Primeiro não completava o carregamento do cadastro,2
2019-07-31,quero cancelar o primiun e e muita burocracia,3
2019-07-31,"Não consigo nem cadastrar, diz que houve um erro",2
2019-07-24,"Já foi um bom app, mas hoje tá pessimo",0
2020-03-17,"Troquei de celular e não consigo mais logar, mesmo depois de resetar a senha",6
2020-03-14,Além do meu username ter sido totalmente alterado,6
2020-03-14,Quero meu username e login de volta,6
2020-03-14,HORRÍVEL MUITA BUROCRACIA PRA CRIAR UMA CONTA,0
2020-03-14,"Não consigo me cadastrar de forma alguma, paciência!!!",2
2020-03-13,"Oi, eu não consegui entrar, o e-mail ficou dando falha",2
2020-03-11,"Não tem como escolher o tamanho que eu quiser da porção? Por exemplo quero colocar 120 gr de arroz mas o aplicativo só dá opção de 50 gr, 1 gr, 1,0 ounce, 1,8 ounce e 1,0 mg(s) mas não tem como colocar 120 gr ou quantas gramas eu quiser, então não tem como colocar a quantidade exata que eu consumo do alimento",1
2020-03-09,Isso atrapalha o plano inteiro de dieta 👎🏼,0
2020-03-08,Não usei o app e fui acabei sendo cobrado mesmo sem o app instalado,2
2020-03-08,já realizei o cancelamento,0
2020-03-07,Cobram mesmo com app cancelado!,2
2020-03-07,Não estou conseguindo me cadastrar no app,2
2020-03-05,"Instalei, e nâo aceita colocar as opções de peso/altura, então nâo consigi passar dessa tela",2
2020-03-05,"Já foi excelente, agora trava diariamente, além de não inserir os alimentos que coloco e não contar as calorias",4
2020-03-05,Acaba de clonar meu cartão de crédito e realizar uma transação que não fiz,5
2020-03-04,O app impõe que você concorde com o uso irrestrito de seus dados pessoais (dados sensíveis) e não permite o cadastro sem antes permitir esse uso de dados,5
2020-03-04,"Portanto, sem poder sequer utilizar o app, a nota baixa",0
2020-03-04,Desde a última atualização o app demora MUITO pra abrir ,4
2020-03-04,não está focando os códigos de barras,2
2020-03-03,"Sempre gostei muito do app, mas já faz alguns dias que está demorando muito para abrir, fica mais de 5 min rodando favor aguardar",4
2020-03-03,Hoje em dia trava muito e dá erro ao adicionar alimentos,4
2020-03-02,Chega a levar mais de 5 segundos pra responder a um único click de botão,4
2020-02-29,Imagina adicionar uma refeição inteira assim?,0
2020-02-29,Nao pude me cadastrar pq sou menor de idade!!!!! MENOR NÃO PODE FAZER DIETA?,1
2020-02-29,"App bugado, fica só voltando para a parte de colocar o objetivo",2
2020-02-28,Tá péssimo! Travando! Não consigo incluir uma refeição completa ! Desenvolvedores favor verificar esse bug!,2
2020-02-27,Nem da pra cadastrar da erro em tudo não sei se e por ser Android mais vo excluir pois não da nem pra conhecer o app,2
2020-02-27,Meus e mails sempre dao inválidos. Simplesmente não consigo usar,2
2020-02-26,"Não consigo me registrar no aplicativo, nem pelo e-mail nem pelo Facebook",2
2020-02-26,"Não sei se é bug, mas quando já estou na metade do registro ele diz que não é possível",2
2020-02-25,Já desinstalei e instalei de novo mas não dá,0
2020-02-25,Não consigo criar meu usuário,2
2020-02-25,"Está dando muitos problemas, trancando e pedindo para finalizar o app, só acontece com esse app no meu celular",2
2020-02-25,consigo nem me registrar,2
2020-02-25,A ideia do aplicativo é ótima,0
2020-02-25,"Cobrou 147,00 de uma vez só",0
2020-02-25,"Sendo que na hora do cadastro diz que é 12,90 mensais",0
2020-02-25,Um absurdo cobrar desse jeito,0
2020-02-25,Revoltante! Perdi totalmente a vontade de usar o aplicativo,0
2020-02-25,"Quero cancelar, ou então pagar por mês!!!! E só aparece tudo em inglês, sem clareza nenhuma nas informações",0
2020-02-25,CUIDADO! VAI COBRAR O VALOR ANUAL DE UMA VEZ!!!!!,0
2020-02-25,O melhor é o *Fatsecret*,0
2020-02-25,"O myfitnesspal é o mais baixado por ser o mais indicado nos canais do YouTube, mas não é o melhor e nunca foi o melhor",0
2020-02-25,"E Quem Indica não é especialista em escolher os aplicativos de contador de macros nutrientes,",0
2020-02-25,Nao consigo faZer log in nem com mail nem com facebook não percebo porque está acontecer isso,2
2020-02-25,De bem vindo de volta ate deseja receber emails,0
2020-02-24,nao da pra fazer mais nada,0
2020-02-24,"Estou tentando entrar com minha conta do Facebook e não está entrando, fica com o símbolo de que está atualizando e não entra, arrumem isso",2
2020-02-24,"Este app fez uma cobrança no meu cartão, não fiz a instalação do mesmo",2
2020-02-23,solicito o reembolso do valor cobrado,0
2020-02-23,"Meu app não está abrindo hoje, oq será ?",2
2020-02-23,"App muito ruim, o acesso para fazer a conta nao da certo, o suporte é horrivel",2
2020-02-21,"Somente propaganda mesmo, no começo nenhum nome de usuario estava disponivel, depois que consegui, o app nao abria e apareciam diversos problemas tecnicos",2
2020-02-20,"Após adicionar 5 alimentos o app simplesmente buga e não consigo adicionar mais, consertem esse bug pf",2
2020-02-20,Não consigo se quer entrar,2
2020-02-20,já tentei todos os nomes de usuário possíveis não aceita,2
2020-02-19,Não consigo nem me cadastrar,2
2020-02-19,Dá e-mail inválido,2
2020-02-18,"Cheio de funções e prático de usar, mas em vários momentos se recusa a abrir",2
2020-02-18,Deve ser app pra Samsung S20 pq no meu Moto G7 plus não dá mais,6
2020-02-18,Não tem como abrir conta nem sessão! FAIL!,2
2020-02-18,"Adorava esse App mas ele não está funcionando mais, já desinstalei e instalei de novo, e nada",2
2020-02-17,Uma pena pq era bom!,0
2020-02-17,this app downloaded more than 1GB of data via my network data plan without any of my consent,4
2020-02-17,And it is only to download video advertising! Ridiculous!,0
2020-02-17,"Depois da atualização, não exibe as refeições nem como padrão",2
2020-02-17,"Então, apenas exibe a refeição que receberá o alimento",0
2020-02-17,Terá que adicionar cada alimento individualmente,0
2020-02-17,É um pé no saco,0
2020-02-17,Este aplicativo está um lixo,0
2020-02-17,Está todo bloqueado para colocar os macros,0
2020-02-17,"App travado em ""salvar metas"", mesmo eu tendo desinstalado várias vezes",2
2020-02-16,"Não é possível enviar msm para o aplicativo, não funciona",0
2020-02-15,Nada relacionado a comunicação com ele funciona,2
2020-02-14,Me arrependi quero cancelar tudo,0
2020-02-14,Um lixo n entra,2
2020-02-14,"Trava sempre que eu abro, não consigo usar a dias",2
2020-02-14,Infelizmente vou desinstalar já que só está ocupando a memória do celular,0
2020-02-11,"Não gostei, quis desinstalar o aplicativo, deu erro e desde então não consigo acessar minha conta",2
2020-02-11,Dá erro enquanto faço o registro,2
2020-02-11,"Não consegui logar, fazer conta absolutamente nada",2
2020-02-10,Travando a todo momento,4
2020-02-10,"Daria 5 estrelas no dia que eu baixei, entretanto após o segundo dia não consegui add nenhuma comida nova porq ele dá erro na hora da pesquisa",2
2020-02-09,Faz duas semana q tento pesquisar os alimentos sem sucesso,0
2020-02-07,"Não está validando o meu nome de usuário, e olha que eu testei todo tipo de nome",2
2020-02-07,"Não da pra registrar e nem usar o app, decepcionada",2
2020-02-05,Aguardo a devolução imediata,0
2020-02-05,Simplesmente não aceita baixar,2
2020-02-05,Porque coletar as informaçõesde email e outros dados pessoais?,5
2020-02-03,É impossível fazer o cadastro,2
2020-02-03,O app não aceita nenhum nome de usuário,2
2020-02-02,Qualquer coisa que eu escreva dá uma mensagem de erro,2
2020-02-02,Qual é o problema?,0
2020-02-02,"O aplicativo era bom, mas está travando direto",2
2020-02-02,Não faz o registo diário,2
2020-02-02,Não consigo logar minha conta de jeito nenhum nem pelo face nem normal,2
2020-02-02,Ele n está funcionando pfv verifiquem para q possa usa-lo,2
2020-01-31,Insane mobile data usage and tons of lag since last update,4
2020-01-31,Keep this up and soon you'll have one less user,0
2020-01-29,"Muitos bugs em várias funções que deveriam facilitar a inclusão de alimentos no diários, e nunca consegui completar um diário para saber o resultado, pois sempre trava",2
2020-01-29,A função câmera Tb faz o app travar e parar de responder,2
2020-01-29,Esse App é extremamente instável,2
2020-01-29,Eu simplesmente não consigo pegar meu histórico de peso o App fecha sozinho,2
2020-01-29,"É um App muito cru, não dá para dizer que é beta, muito mal testado",0
2020-01-29,"não abre mais, faz dias",2
2020-01-29,500Mb in mobile data everyday since the installation? This is just dumb programming and an awful user experience,4
2020-01-28,"Está dando erro na hora de colocar o peso e diz que é inválido, já abri e fechei mas nem entrar deu",2
2020-01-26,Não queria assinar mas vcs agem de má fé por baixo do pano,0
2020-01-24,Não vou dar meus dados a vocês,0
2020-01-24,"Para quê precisam saber: Data de nascimento, mês, dia, senha de Facebook",0
2020-01-23,"Poderia ser o melhor app de contagem, porém pecam no básico que é uma boa otimização do app, invistam esse dinheiro de assinatura que ganham pra melhora-lo",0
2020-01-23,Ate pra instalar a versao gratuita tem que cadastrar o cartao de credito,0
2020-01-22,Não consigo fazer o registro,2
2020-01-22,Não consigo criar minha conta para usar o app já coloquei varios tipos de nome de usuario e não aceita,2
2020-01-21,Horrível trava as opções,2
2020-01-21,Um aplicativo envolto em fezes,0
2020-01-21,"Explico: Ou você é Premium, ou não é gente",0
2020-01-21,"O bombardeio de auto propaganda ""Seja Premium"" é abusivo, e olha que eu recém instalei no celular!!! O aplicativo é abusivo, coletando dados em excesso",0
2020-01-21,"Você informa um dos ingredientes de sua refeição e, por mais que tente, não consegue informar os demais, pois se perdem depois que clica em Adicionar",2
2020-01-21,"Bom, a partir daí eu perdi a paciência e desinstalei o mesmo",0
2020-01-21,10 minutos preciosos de vida perdidos,0
2020-01-21,"O app era bom, mas começou a travar e parar de funcionar no meu moto Z2 Play",2
2020-01-21,"App indispensável pra quem quer controlar suas calorias e assim conhecer os alimentos, porém toda semana ele da pau e nao abre e é preciso desinstalar e instalá-lo novamenete perdendo todos os meus dados então salvos",2
2020-01-20,"Não abri, depois da atualização o aplicativo travou",2
2020-01-20,"Vc não encontra um caminho direto para cancelar sua conta e todos os seus dados pessoais, do celular e e-mail são passados para vários lugares",5
2020-01-18,"Não consigo fazer meu registro, porque quando vou colocar o meu Id ele não aceita e já tentei diversos nome, até mesmo aleatórios pra conseguir fazer esse registro",2
2020-01-18,Não estou conseguindo fazer o login!!!,2
2020-01-17,"Programa todo bugado, vc vai em acrescentar o alimento, mas o programa nao adiciona na sua refeicao, é um saco, toda vez faz isso, daí vc tenta umas 5 vezes, fica puto e desiste",2
2020-01-16,"Inútil, pq a principal ferramenta que é cadastrar suas refeicoes nao funciona direito, e isso é um erro grave, pq é a funcao basica da utilidade do programa",2
2020-01-16,Não consigo me registrar,2
2020-01-16,00 só então consegui acessar o cancelamento,0
2020-01-16,Como faço para receber o enxtorno?,0
2020-01-16,Propagandas de mais na versão free,3
2020-01-16,Quem tem ânimo para usar? Dessa forma jamais poderei avaliar o app e comprar uma versão,0
2020-01-14,Não foi possível se registrar e deveria ser a parte mais fácil ao meu ver,2
2020-01-14,"Está com bug na criação de refeicoes, não consigo adicionar mais um alimento",2
2020-01-14,Testei em 2 celulares,0
2020-01-14,Tem diversos alimentos que tento adicionar na minha refeição e ele não salva,2
2020-01-14,"Adiciono, e não permanece, simples disaparece",0
2020-01-13,"Poxa não quero ser cobrada mais um mês por isso, como proceder?",0
2020-01-13,"Muito bom, com a ajuda deste aplicativo já consegui perder 10kg",0
2020-01-13,Quando tento insirir a minha data de nascimento da um erro,2
2020-01-12,"Não consigo fazer login e nem cadastrar outra conta, oq fazer ??",2
2020-01-12,Péssimo!!!! Não consigo me cadastrar!!!! Horrível mesmo! Mais de uma hora tentando criar uma conta e não tive sucesso!!!!,2
2020-01-11,Não consigo instalar a versão Premium,2
2020-01-09,Versão gratuita não cumpre as funcionalidades necessárias à minha utilização e que a App garante ter disponível na versão premium,0
2020-01-09,"Tentei o link indicado pelo suporte e aparece-me ""page not found""",0
2020-01-09,Já instalei e desinstalei a App,0
2020-01-09,Conclusão continuo sem a versão Premium!,0
2020-01-09,"As opções de alimentos e treinos são muito limitados e muito pré definidos Deveria haver msis flexibilidade nas porções, quantidade e tipos de exercícios e comida",1
2020-01-09,So me faz raiva! Ele ultimamente nao abre,2
2020-01-09,Fica carregando a vida toda! Outro dia esperei quatro minutos e ainda assim n abriu,2
2020-01-08,"Ja reinstalei 3x, e nao resolve",0
2020-01-08,"Um saco! / It keeps loading forever, and never opens up",2
2020-01-08,Last time I've waited for 4 minutes and gave up,0
2020-01-08,I've tried to delete and install over and over and keeps doing that,0
2020-01-08,It was just fine a couple months ago,0
2020-01-08,Idk what else I can do,0
2020-01-08,"Não consigo me logar,nem com Facebook, nem com conta nenhuma e pra mim não aparece a opção entrar com o Google",2
2020-01-08,Esse aplicativo já foi melhor hoje tá horrível,0
2020-01-08,Recomendo o macros ele é muito melhor pq gente eu como tipo 7 biscoitos agua e sal aparece seu objetivo é comer -32g de gorduras hj já da raiva o macros e 10,0
2020-01-08,"Aplicativo mal estava funcionando a alguns dias, e hoje parou de funcionar nem abrir não abre",2
2020-01-08,E não apenas no meu aparelho fiz teste em outro! Decepcionada,0
2020-01-07,Não permite iniciar sessão,2
2020-01-07,"Dá sempre erro, mesmo depois de alterar a password",2
2020-01-07,Foi realizado uma cobrança de assinatura Premium sem meu conhecimento! Fiquem longe desse aplicativo!,5
2020-01-07,Precisa ter senha e e-mail e eu nao consegui ate agora,0
2020-01-07,Não consigo concluir o cadastro erro não é possível concluir o registro,2
2020-01-06,Nem com fb ou fazendo processo manual,2
2020-01-03,Não consegui me registrar,2
2020-01-03,"Todos os nomes de usuários que insiro, inclusive os sugeridos, aparecem mensagem de erro",2
2020-01-03,App cheio de falhas,2
2020-01-03,"Primeiro não consegui aceitar os termos, agora não faz login",2
2020-01-03,Não dá nem pra criar conta,2
2020-01-03,Não consigo mais criar refeições porque escolho o alimento e na hora de adicionar não vai,2
2020-01-03,Essa atualização fez com que o aplicativo começasse a bugar na hora de escolher os alimentos,2
2020-01-02,Por exemplo: alguns itens quando quero colocar ele simplesmente não vai e quando vai já vem 3 de uma só vez,2
2019-12-31,"App demora uma eternidade para abrir, todo bugado",4
2019-12-31,eu ñ consigo registrar minha conta pq? ja tentei várias vzs,2
2019-12-29,Não consigo validar nenhum nome,0
2019-12-29,O app me impede até de fazer registro,2
2019-12-26,Melhor app de todas as do género,0
2019-12-26,Ja experimentei umas 15 e nenhuma e eficiente eficiente,0
2019-12-26,Mais alimentos mais informação e muito fácil de usar,0
2019-12-26,Pena os constantes anúncios e apelos a pagar a versão premium mas é compreensível,3
2019-12-26,Não estou conseguindo mais entrar no App ele fica carregando e não abre,2
2019-12-26,"Fizeram uma assinatura anual de R$ 147,99 sem minha autorização",5
2019-12-25,"Cuidado, aplicativo não é gratuito",0
2019-12-23,Era um aplicativo maravilhoso,0
2019-12-23,"Creio que seja proposital, pra você assinar o Premium, mas só faz mesmo é vc baixar outro app",0
2019-12-23,Quer compartilhar nossos dados,5
2019-12-23,caso n aceite pede p cancelar a conta,0
2019-12-22,"Bom, só q podemos cadastrar alimentos e alguns estão diferentes",0
2019-12-22,Tantos anos e falha o básico,0
2019-12-22,Fiz a assinatura que dizia que era grátis no tempo de 30 dias e caso não gostasse era só cancelar a assinatura que nada seria cobrado,0
2019-12-20,"No momento em que consegui realizar o cancelamento, foi feita a cobrançao no cartaõ de crédito",0
2019-12-19,"Eu não pedi o plano Premium, solicito o reembolso",0
2019-12-19,"Não consigo fazer o meu cadastro, se puderem me ajudar eu agradeço!",2
2019-12-19,"Nao abre, nao consigo avançar o cadastro!! Nao serve para perder peso!",2
2019-12-19,"Não consigo me cadastrar, todo nome de usuário que tento colocar da erro",2
2019-12-18,"Na hora de concluir o registro, não consegui validar nenhum nome de usuário, pois sempre aparece um erro",2
2019-12-17,Impossível fazer o registro,2
2019-12-17,Fala email inválido independente de qual seja,2
2019-12-17,Simplesmente parou de funcionar,2
2019-12-17,Tô puto vey baixei saporra pra contar o alimentos q eu to comendo e n salva a vsf,2
2019-12-17,"Nao consigo usar,sempre aparece a mesma frase: ""Nao foi possivel validar esse nome de usuario",2
2019-12-15,"tente novamente"" Ja tentei 'todos o nomes possiveis'",0
2019-12-14,Só dava erro na hora de cadastrar,2
2019-12-14,"Cobraram indevidamente o plano anual, quando escolhi o mensal",5
2019-12-13,Não consigo falar com ninguém,0
2019-12-13,"Suporte dá ""Página não encontrada"" Preciso do estorno! Isso não foi devido!",0
2019-12-13,Não consigo postar foto do projeto primeiro dia do shape da gnoma,2
2019-12-13,O app não me deixa criar meu registro nele,2
2019-12-10,Instalei o aplicativo para teste e tive o débito automático depois de sete dias sem aviso,5
2019-12-09,Não tive como reverter,0
