Data	Comentário	Sentimento	Classificação
2018-10-01	Tem coisas faseis de mais deveria almentar o nível de deficuldade	Ruim	Funcionalidade
2018-09-27	Vou usar e vê se e bom, quer vê o meu resultado me segui no Instagram @Alessandra_alvves	Bom	Não-Informativo
2018-09-26	Pessimo aplicativo da multi virus	Ruim	Eficiência
2018-09-24	Não consegui baixar o APP ocupa muito espaço	Ruim	Confiabilidade
2018-08-29	Ele é bom mas depois que você para de fazer o efeito e ao contrário sua barriga aumenta o dobro	Bom	Funcionalidade
2018-08-29	Não de facto gostei muito dessa aplicação	Bom	Não-Informativo
2018-08-21	Só dou uma estrela depois logo se vê	Ruim	Compatibilidade
2018-08-13	Estou tentando instalar e nada até agora ????	Ruim	Não-Informativo
2018-08-08	"Cadê as avaliações de quem usou o app durante um mês? Não faz sentido 
avaliar um app de perda de peso após o segundo dia de instalado"	Ruim	Confiabilidade
2018-08-08	"Sugiro a 
disponibilização do pop-up de avaliação somente após o vigésimo primeiro 
dia de uso"	Ruim	Usabilidade
2018-07-30	O título não é real	Ruim	Funcionalidade
2018-07-30	Fiz tudo E surpresa nada	Ruim	Confiabilidade
2018-07-27	Vai se fude cara sai do celular	Ruim	Confiabilidade
2018-07-07	ainda n testei mas me incomodo com minha gordura abdominal	Ruim	Segurança
2018-06-12	Faltou pausas entre as séries	Bom	Funcionalidade
2018-06-12	 É horrível vc fazer abdominais sem fim	Ruim	Confiabilidade
2018-06-12	" 
Ninguém é robô"	Ruim	Não-Informativo
2018-05-15	"Não tem como inserir o peso inicial e as medidas do corpo para depois 
comparar os resultados"	Ruim	Confiabilidade
2020-03-11	Senti falta a ficha de altura, peso, medidas para acompanhamento e base para montagem da série	Bom	Funcionalidade
2019-09-18	Eu tenho pochete, nao tive nenhum resultado ainda	Ruim	Segurança
2019-09-09	Nao serve de nada	Ruim	Confiabilidade
2019-09-05	comesei a treinar a 5 dias achei otimo ele esprica muito bem quando terminar os 30 dia volto pra dizer se vale apena ou nao	Ruim	Não-Informativo
2019-08-15	vamo ver se é bom, eu vou e volto	Bom	Não-Informativo
2019-07-30	Vou começar hoje, vamos ver	Bom	Confiabilidade
2019-07-30	depois dou mais estrelas	Ruim	Compatibilidade
2019-07-17	sei lá não terminei de fazer kkk	Ruim	Não-Informativo
2019-04-26	por enquanto duas estrelas pq acabei de baixar, mas o conteúdo ve interessante	Ruim	Não-Informativo
2019-04-05	não consigo ver o que posso comer	Ruim	Confiabilidade
2018-10-02	Bem eu tenho 11anos e estou pesando 35 kilos meu foco e emagrecer ate 20e pouco vou tentar e depois falo meu resultado	Ruim	Confiabilidade
2018-09-26	Vou dar 2as estrelas se for BOM vou aumentar	Ruim	Não-Informativo
2018-05-20	Isso é pra pessoa depressiva Prefiro ter minha barriga gordinha memso	Bom	Segurança
2020-03-17	To gostando dos exercícios e resultados, quando concluir, volto e dou 5 estrelas se eu alcançar meu objetivo	Bom	Confiabilidade
2020-03-13	Nao conta 1,2,3	Ruim	Confiabilidade
2020-03-13	e toda vez agente tem que pular manualmente pra outro exercicio	Ruim	Confiabilidade
2020-03-07	Estou adorando vou dá 3 estrelas por q só tenho 2 dias q comecei	Ruim	Confiabilidade
2020-02-22	Bom se vc colocar pouco emagrece pouco se vc colocar um monte emagrece bastante	Bom	Confiabilidade
2020-02-05	Nunca comecei mais já achei incrível 😂🤭	Ruim	Não-Informativo
2020-01-31	Poderia bem liberar uma música para fazermos os exercícios tbm hem fica a dica	Bom	Funcionalidade
2020-01-27	Esse app é muito bom ajudar mesmo se a pessoa fazer tudo certinho eu gostei muito	Bom	Não-Informativo
2020-01-25	Estou gostando, vamos ver o resultado	Bom	Funcionalidade
2020-01-23	Muito bom	Bom	Não-Informativo
2020-01-23	" Mas recomendo para pessoas ""mais fortes"" pois são muitos treinos e os treinos são bem pesados então se vc for um adolescente ou criança sei lá, não recomendo"	Ruim	Funcionalidade
2020-01-23	 Mas para adultos recomendo	Bom	Funcionalidade
2020-01-23	 👍	Ruim	Não-Informativo
2020-01-23	Comecei hoje, coloquei no modo mais avançado, se der resultado daqui 30 dias eu volto e dou 5 estrelas	Ruim	Confiabilidade
2020-01-10	Não deu muito resultado em mim	Ruim	Confiabilidade
2020-01-10	Excelente ,estou apenas comesando	Bom	Não-Informativo
2020-01-07	Vou dar 3 estrelinha agora se der algum resultado darei 5 e elogios 😘	Ruim	Segurança
2019-12-30	o resultado não é tão absurdo, mas aceitável pra 30dias	Ruim	Não-Informativo
2019-12-28	Tô treinando se eu tiver resultados do mais estrelas	Ruim	Confiabilidade
2019-12-26	Muito legal mais cansa muito	Bom	Funcionalidade
2019-12-23	E ótimo pra mim funcionou muito beim	Bom	Não-Informativo
2019-11-05	É bom eu gosto, porém acho q teve atualização e não gostei de algumas mudanças que teve no tempo do intervalo	Bom	Funcionalidade
2019-10-15	só depende de mim pra obter resultados	Ruim	Segurança
2019-10-15	começei faz alguns mais eu ja sinto resultados frequentes como por exemplo realizar os exercicios com mais facilidade ,quando acabar venho falar se funcionou msm ou n	Ruim	Eficiência
2019-10-04	Vou começar a praticar se der resultado dou as 5 estrelas	Ruim	Compatibilidade
2019-10-01	Estou começando, mas parece muito bom	Bom	Eficiência
2019-09-19	Iniciante ainda, mas gostei muito	Bom	Funcionalidade
2019-09-07	Poderia ter como editar os treinos hiit do App, pra quando ficassem fáceis demais nós mesmas podermos aumentar o tempo	Ruim	Funcionalidade
2019-08-22	Comecei ontem é estou a gostar	Bom	Eficiência
2019-08-22	Volto mais tarde para dar novamente a minha opinião	Ruim	Não-Informativo
2019-08-20	o App parece ser bom	Bom	Eficiência
2019-08-15	hoje foi meu primeiro treino quando eu terminei de treinar eu passei mal kkk eu recomendo não fazer tudo no primeiro dia faça aos poucos pra não passar mal igual a mim kkkk	Ruim	Confiabilidade
2019-08-07	Se der certo dou mais estrelas	Ruim	Compatibilidade
2019-08-06	usei por dois meses	Ruim	Eficiência
2019-07-30	tem quase uma semana q estou fazendo e não estou vendo resultado	Ruim	Confiabilidade
2019-07-24	e muito bm não dei 5 estrelas porque baixei a pouco tempo	Ruim	Eficiência
2019-07-19	Eu gosto da app	Bom	Não-Informativo
2019-07-10	Baixei a dois dias e já comecei os treinos, por enquanto está ok, ainda não posso dar uma opinião definitiva sobre o App, daqui 30 dias eu volto pra editar a avaliação	Ruim	Não-Informativo
2019-07-10	Lembrando que não se depende só de um aplicativo pra obter resultados, é uma soma de fatores	Ruim	Segurança
2019-04-27	é bom só que de uns dia pra cá quando eu finalizo o exercicio ele fica totalmente branco e não vejo mas nada e meu celular começa a travar	Ruim	Confiabilidade
2019-04-27	gostei do aplicativo e não queria abrir mão dele por favor desenvovedor concertem isso por favor	Ruim	Não-Informativo
2019-03-28	gente no meu não está mostrando quantas repetições é pra fazer cada exercício	Ruim	Não-Informativo
2019-03-28	E agora como vou saber?	Ruim	Segurança
2019-03-27	Baixei o App hoje e dei uma conferida nos exercícios e amei	Bom	Confiabilidade
2019-03-27	 começo amanhã, dia 27/03 , dia 27/04 retorno pra falar do meu resultado	Ruim	Confiabilidade
2019-03-27	😘 Por enquanto darei apenas 3☆	Ruim	Eficiência
2019-03-25	Esta faltando configuração para diminuir o tempo de descanso e também na quantidade de exercícios por exemplo, a gente coloca a quantidade mas quando estamos fazendo os exercícios não para após fazer determinada quantidade colocada, isto atrapalha o andamento por ter que mexer no celular, também nos segundos de descanso, só tem 30 segundos, não tem como colocar menos tempo de descanso como 10 segundos,se fizer esta correção fica show, obs	Ruim	Funcionalidade
2019-03-25	Só marca o tempo quando é em segundos	Ruim	Eficiência
2019-03-24	Ainda não comecei a usar mas já adorei	Ruim	Confiabilidade
2019-03-24	Depois de começar vou avaliar novamente	Ruim	Funcionalidade
2019-03-22	É um programa fácil de utilizar,nos primeiros dias não se nota as modificaçoē que ocorrem,depos de um determinado tempo notão varias modificaçoēs	Ruim	Confiabilidade
2019-03-21	é bom mais vou praticar amanhã	Bom	Não-Informativo
2019-03-19	comecei hoje vc pensa que besteira e rapido mais e intenso to tremendo kkkkk	Ruim	Confiabilidade
2019-03-19	excelente aplicativo depois posso dar mais duas estrelas depois que eu fizer o teste	Bom	Não-Informativo
2019-03-14	não da para por o dia da mestruação	Ruim	Confiabilidade
2019-03-10	pro enquanto vou dar essa comecei só tá com oito dias mais e muito bom gostei	Ruim	Confiabilidade
2019-03-07	e bom so falta eu ter a roupa adequada ;-; e ser mais velha ;-------;	Bom	Funcionalidade
2019-03-07	por enquanto vou dar 3 estrelas mas me pareçe ser um bom aplicativo porém acho que e pago	Bom	Não-Informativo
2019-03-06	e bom mais precisa ser portugal	Bom	Confiabilidade
2019-03-05	não sei se funciona mais parece que ta certo	Ruim	Confiabilidade
2019-01-05	A aplicação é muito boa	Bom	Não-Informativo
2019-01-05	Dá para fazer os exercícios sem ajuda de ninguém e eu acho que resulta	Bom	Funcionalidade
2019-01-05	Comecei hoje e já sinto um pouco de diferença, daqui a 30 dias volto para dar mais 2 estrelinhas ????	Ruim	Confiabilidade
2018-10-15	Tô baixando nesse momento	Ruim	Confiabilidade
2018-09-30	Olha, Dei 3 Estrelas Ainda Pois Estou Baixando O App Ainda, Dou As 5 Estrelas Quando Eu Tiver Bons Resultados	Ruim	Compatibilidade
2018-09-30	Baixei o App agora e ainda não sei como é	Ruim	Não-Informativo
2018-09-30	Mas tenho medo de perder peso porque quero é ganhar massa muscular	Ruim	Funcionalidade
2018-09-27	Alguém me diz se deu resultado	Ruim	Confiabilidade
2018-09-21	Ainda n usei parece bom	Bom	Segurança
2018-09-17	Vou experimenta se eu gostar eu dou mais estrelas	Ruim	Compatibilidade
2018-09-15	Sera que criança pode fazer misso	Ruim	Funcionalidade
2018-09-13	Eita que começa amanhã	Bom	Eficiência
2018-09-08	Já mudei minha dieta há muito tempo	Ruim	Funcionalidade
2018-09-08	Estou seguindo os exercícios do app há 45 dias e não notei diferença nenhuma no corpo	Ruim	Confiabilidade
2018-09-08	Eu já sou magra	Ruim	Confiabilidade
2018-09-08	Meu intuito é realmente perder gordura abdominal	Bom	Funcionalidade
2018-09-05	Muito bom eu adorei	Bom	Não-Informativo
2018-09-03	hj fiz o primeiro dia	Ruim	Não-Informativo
2018-08-29	Vou começar hoje dia 29/08/2018 daqui 1 mês volto pra contar se deu resultado	Ruim	Confiabilidade
2018-08-26	Não sinto dor nos meus músculos	Ruim	Funcionalidade
2018-08-26	O desenho ( animação) é um, a descrição fala pra fazer outra coisa, e o vídeo no YouTube indica uma terceira coisa	Ruim	Não-Informativo
2018-08-25	Porquê que pros homens é mais difícil? Leap Fitnees Group	Ruim	Usabilidade
2018-08-25	eu baixei os outros 2 app que não tem isso, porque isso é ridículo	Ruim	Não-Informativo
2018-08-23	Gostei muito tem ajudado bastante	Bom	Não-Informativo
2018-08-21	Tenho gostado e perdi 7cm de circunstância abdominal em 2 semanas	Bom	Funcionalidade
2018-08-21	Mas o que sugiro é que seja salvo os avanços que temos no decorrer do tempo porque se precisar formatar o celular nós perdemos tudo, aí tem que começar do zero e isso desistimula	Ruim	Confiabilidade
2018-08-21	Utilizar a conta Google por exemplo para salvar os dados já ajuda	Ruim	Confiabilidade
2018-08-20	vo testar se for bom do mais estrelas,daqui 10 dias eu volto	Ruim	Confiabilidade
2018-08-20	Soh vou da três si for ótimo eu aumentarei ????	Bom	Confiabilidade
2018-08-20	"Porém precisei formatar o celular duas vezes e todo 
progresso não foi recuperado"	Ruim	Confiabilidade
2018-08-20	"Poderia ter a opção de recuperar o progresso 
através do cadastro do e-mail ou se a sincronização do Google fit 
funcionace pq agora pela 3 vez vou ter que começar tudo de novo e isso é 
desmotivador"	Ruim	Funcionalidade
2018-08-18	Não faz sentido eu ter perdido 1456Kcal	Ruim	Funcionalidade
2018-08-18	"pq se fosse assim eu ja taria 
magrelo E 1456Kcal ou e 1456 calorias"	Ruim	Confiabilidade
2018-08-17	Gostei emagreci 4 quilos em 1 semana	Bom	Eficiência
2018-08-15	Estou abaixando o app daqui um mês espero ter perdido pelo menos meio kilo	Ruim	Funcionalidade
2018-08-15	"eu faço academia 3 dias na semana mas para ajudar a perder mais peso vou 
testar esse app ????"	Bom	Confiabilidade
2018-08-06	"Baixei hoje mas gostei se for tudo q imagino desse aplicativo volto para 
avaliar com mais estrelas ☺????"	Bom	Não-Informativo
2018-08-06	Ajudaria se tivesse música	Bom	Eficiência
2018-08-04	"O aplicativo é bom, tem exercícios bons, mas tem um problema grave, não há 
uma opção de fazer login em alguma conta ou algo assim para que se possa 
salvar o progresso e em caso de troca de celular ou reset poder continuar 
de onde parou"	Ruim	Confiabilidade
2018-08-04	"Perdi todos os meus dados devido a uma restauração que fiz 
no meu celular e desanimei de usar o aplicativo depois disso pois teria que 
começar tudo de novo"	Ruim	Confiabilidade
2018-07-29	Tem muito anúncio que aparece na tela	Ruim	Usabilidade
2018-07-28	Vou dar 3 estrelas porque ainda estou no segundo dia	Ruim	Confiabilidade
2018-07-28	"Mas o app é bom, 
super recomendo ele"	Bom	Não-Informativo
2018-07-28	Vou dá mais estrelas qnd começar a vê resultados ????❤????	Ruim	Não-Informativo
2018-07-26	The English log is wrong, doesn't work Right, some words are in portuguese	Ruim	Confiabilidade
2018-07-26	"Fiz os 30 dias e n vi resultado nenhum segui a risca e a quantidade de 
calorias tmb está totalmente errada mas os exercícios são bons mas o App n 
cumpre com o prometido (perder a gordura em 30 dias)"	Ruim	Não-Informativo
2018-07-25	To estalando se for bom dou mais estrelas	Ruim	Compatibilidade
2018-07-24	"Dei um satisfatório pois vou testa-lo durante 1 semana se eu sentir 
diferença eu mudo minha opinião"	Ruim	Não-Informativo
2018-07-18	"Ms na hora do exercicio nao tem aquela voz falando minuto por minuto n 
gostei por issso"	Ruim	Eficiência
2018-07-17	"Bom lendo os comentários e pesquisando um pouco parece ser bem útil 
voltarei a comentar após os 30 dias e ver se obtive resultados"	Ruim	Não-Informativo
2018-07-17	Tô no meu primeiro dia vamos ver se dar resultado mesmo	Bom	Confiabilidade
2018-07-14	Estou avaliado mais até a agora estou bom	Bom	Não-Informativo
2018-07-13	Bom, mas diminua o tempo de descanso	Bom	Eficiência
2018-07-13	 Fora isso é um excelente app ????	Bom	Não-Informativo
2018-07-11	Não sei ao certo	Ruim	Confiabilidade
2018-07-11	"Gostaria apenas de trincar a barriga e não de emagrecer, 
porque já sou muito magra"	Ruim	Funcionalidade
2018-07-02	Ainda Estou a Experimentar	Ruim	Segurança
2018-06-30	Oii eu queria lhe fazer uma pergunta	Ruim	Confiabilidade
2018-06-30	"esse app serve para crianças também 
ou só para adultos??"	Ruim	Funcionalidade
2018-06-28	Depois de eu experimentar volto pra dar opinião	Ruim	Não-Informativo
2018-06-26	esse APP é ótimo eu já comecei e já to vendo diferença ja????????????	Ruim	Não-Informativo
2018-06-25	Vou começar depois avalio melhor	Bom	Funcionalidade
2018-06-02	"Gente to no terceiro dia to amando, quando fechar os 30 dias venho contar 
se deu resultado"	Ruim	Confiabilidade
2018-05-31	"Meu celular estava quase sem nenhum app para mim abaixar este ,é meu 
celular travou e não estalou vou tentar nova mente mas não sei se vai dar 
certo"	Ruim	Confiabilidade
2018-05-31	Então minha opinião é três estrelas	Ruim	Não-Informativo
2018-05-23	"Estou baixando agora o aplicativo mas observei vários comentários em 
relação a peso gente o aplicativo deve ajudar mas vc só emagrece com 
reeducação alimentar ai sim você vai ver muitos resultados"	Ruim	Confiabilidade
2018-05-20	Só vou dá o restante das estrelas quando alguém falar que perdeu peso :D	Ruim	Confiabilidade
2020-03-18	Oi	Ruim	Compatibilidade
2020-03-18	 Gostei muito do app, exercícios que tu fizer bem direitinho, consegue sentir todos os músculos arderem	Bom	Não-Informativo
2020-03-18	Mas, sentir falta de uma coisinha, fazer a contagem dos exercícios	Bom	Funcionalidade
2020-03-18	Facilita muito, se não a gente tem que ficar olhando pra tela do celular	Ruim	Não-Informativo
2020-03-18	Eu pelo menos me perco na contagem	Bom	Funcionalidade
2020-03-18	É muita coisa, respirar, contrair e olhar para o celular	Ruim	Usabilidade
2020-03-18	Obrigada, no mais o app é ótimo	Bom	Não-Informativo
2020-03-16	Muito bom	Bom	Não-Informativo
2020-03-16	 Ajuda a manter o foco e obter resultados	Bom	Funcionalidade
2020-03-16	Ainda não testei mais pelos comentários já vi que é aprovado mais vou testar e se gostar dou 5 estrelas	Ruim	Não-Informativo
2020-03-08	Comecei hoje app maravilhoso	Bom	Confiabilidade
2020-03-06	Não usei ainda se for bom dou 5 estrelas	Ruim	Segurança
2020-03-05	Os alarmes não tocam todos os dias	Ruim	Confiabilidade
2020-03-05	otimo app funciona mesmo	Bom	Não-Informativo
2020-03-04	Muito bom to adorando	Bom	Não-Informativo
2020-02-25	Por enquanto tô amando o app,se continuar dando certo dou a última 😊👍	Ruim	Confiabilidade
2020-02-24	Estou no segundo dia mais estou gostando bastante	Bom	Não-Informativo
2020-02-13	Os exercícios sao uma delícia específico para o que eu queria	Ruim	Usabilidade
2020-02-10	Perfeita o treino é ótimo	Bom	Não-Informativo
2020-02-08	Melhor aplicativo que eu tenho	Bom	Não-Informativo
2020-02-02	Comerçei a pouco tem e estou gostando muito	Bom	Usabilidade
2020-01-31	Comecei a usar e estou gostando muito	Bom	Eficiência
2020-01-31	Treinos curtos, muito bom para quem não tem muito tempo mas não quer ficar parado	Ruim	Confiabilidade
2020-01-30	Muito bom tou amando	Bom	Não-Informativo
2020-01-30	Ainda não terminei o ciclo de 30 dias, mas estou gostando bastante	Ruim	Não-Informativo
2020-01-30	Esse app acaba comigo mas é bom pq assim q o resultado vem rs	Bom	Confiabilidade
2020-01-25	Gosto muito do app	Bom	Não-Informativo
2020-01-25	Excelente opção para treino em casa	Bom	Funcionalidade
2020-01-25	Gostaria de poder simular e redefinir o progresso de cada dia de treino individualmente, sem zerar o progresso total	Ruim	Confiabilidade
2020-01-20	Ainda ñ testei entao ñ vou falar	Ruim	Não-Informativo
2020-01-16	Senti falta de um menu para informar o progresso do meu peso e altura, e seria legal tbm uma galeria de fotos interetiva mostrando o nosso progresso diário ou semanal	Ruim	Confiabilidade
2020-01-15	Então, estou aguardando concluir os 30 dias para dar 5 ⭐	Ruim	Confiabilidade
2020-01-15	Mas PASSADA estou	Ruim	Funcionalidade
2020-01-15	Pois faz apenas 6 dias que iniciei e já vi resultados	Ruim	Confiabilidade
2020-01-15	Faço 2 modos, Iniciante e Intermediário	Bom	Eficiência
2020-01-15	Bem, de um tempo para cá, eu já havia emagrecido bastante, mais uns culotes salientes nunca chegaram a sair 😒 e isso me deixava irada pois fazia quase de tudo pra sumirem	Ruim	Confiabilidade
2020-01-15	E para minha surpresa , esses dias fui me olhar no espelho e de um lado não tinha mais e o mais dificil de todos está diminuindo 🙌 Até aqui SATISFEITA😍	Ruim	Usabilidade
2020-01-15	Adorei o app, no entanto, o tempo dele está com defeito	Bom	Eficiência
2020-01-15	Pois tem vezes que ele tranca e fica só a barra vermelha andando indicando o tempo	Ruim	Confiabilidade
2020-01-15	O que prejudica poisbtem vezes que acabados tendo que nosntorcer para ver se findou ou não o tempo ou acabamos ficando um tempo muito superior do que o indicado	Ruim	Eficiência
2020-01-15	O meu questionamento é: os alongamrntos nao deveriam vir antes dos exercicios? Espero respota	Ruim	Não-Informativo
2020-01-15	De resto, está perfeito no meu ponto de vista	Bom	Eficiência
2020-01-09	Caso vc não tenha certeza de como realizar algum, tem uma explicação escrita e até vídeo explicando	Ruim	Segurança
2020-01-02	Bom aplicativo, exercícios fáceis e que dão resultado	Bom	Não-Informativo
2019-12-22	Achei muito útil para mim, espero que seja pra vcs usurários	Ruim	Não-Informativo
2019-12-12	Eu ameeei,em uma semana já dá resultados 💓recomendo que baixem a aplicação é muito boa,vai ajudar muito,apenas resta dedicação e muita força para alcançar a nossa meta final	Bom	Não-Informativo
2019-12-09	É muito bom esse aplicativo	Bom	Não-Informativo
2019-12-02	É bom mas eu n consigo manter e essa muie fala mt	Bom	Confiabilidade
2019-12-01	Eu gostei muito do App pra ficar melhor acho que deveria vim com umas musiquinhas por que quando coloco música não dá pra ouvir as instruções do apps	Bom	Não-Informativo
2019-12-01	Oi tem como passar ele na tv?	Ruim	Compatibilidade
2019-11-23	Gostei bastante do app comecei a dois dias mas ja tou adorando e bom ate pk nao fazia exercícios e agora com oh app sempre vou ta em forma ❤	Bom	Confiabilidade
2019-11-21	Esse App é muito bom	Bom	Não-Informativo
2019-11-21	Exercício simples e eficaz	Bom	Funcionalidade
2019-11-20	mas os exercícios são difíceis para quem te aquela barriguinha	Ruim	Usabilidade
2019-11-18	Oito anos, a partir das	Ruim	Não-Informativo
2019-11-13	Aplicativo muito bom, os exercícios são ótimos, super recomendo pra quem quer queimar gordura abdominal, Ja estou colocando em prática 	Bom	Não-Informativo
2019-11-07	Estou gostando muito espero que me ajude a perder peso mesmo	Bom	Funcionalidade
2019-11-05	Cara eu amei sério msm😘	Bom	Eficiência
2019-11-05	Eu dei a nota, 4 ė a media	Bom	Funcionalidade
2019-11-05	por eu gostar ums, dos aplicativos e tem que ser de segurança, para as pessoas usarem	Bom	Segurança
2019-11-05	Gosto muito dos treinos	Bom	Funcionalidade
2019-11-05	 Só não gostei da parte que fica chegando lembrete pra mim treinar sendo que eu já fiz o treino do dia e eu não deixei nenhum lembrete programado no mais tudo certo	Ruim	Funcionalidade
2019-10-30	Muito bom pena que o sedentarismo bate é nós faz nada	Bom	Eficiência
2019-10-27	Depois dos exercícios concluído, se deixar para compartilhar depois de um tempo, agente não consegui mais	Ruim	Confiabilidade
2019-10-26	Muito bom estou gostando	Bom	Não-Informativo
2019-10-23	Estou no 8 dia de exercícios e estou gostando muito já vi diferença no meu abdômen	Bom	Não-Informativo
2019-10-22	Parece bom de mais pra ser verdade mas vou entrar no desafio e espero ver resultados👍	Bom	Não-Informativo
2019-10-18	Só falta mesmo uma opção de salvar os exercícios que você mais gosta, tipo uma playlist de exercícios	Bom	Funcionalidade
2019-10-13	Vou da 4 estrelas pq ainda não sei se vou emagrecer msm mas os exercícios são ótimos e dão um up na alto estima	Ruim	Confiabilidade
2019-10-12	Estou em teste , mas pela reação do meu corpo sinto q é positivo	Bom	Funcionalidade
2019-10-11	Muito legal, comecei agora	Ruim	Eficiência
2019-10-11	Quando der resultado dou cinco estrelas	Ruim	Segurança
2019-10-06	Adorei já estou ficando com um tanquinho bem pequeno mais tá indo	Bom	Confiabilidade
2019-09-17	Motivador, acelerado e divertido	Ruim	Não-Informativo
2019-09-14	Muito bom gostei muito	Bom	Não-Informativo
2019-09-10	Muito prático e excelente para perder peso	Bom	Não-Informativo
2019-09-10	Ótimo app tenho 10 dias que baixei o aplicativo, e já estou vendo os resultados	Ruim	Não-Informativo
2019-09-03	Eu gostei bastante to trincada Queimei a pança	Bom	Não-Informativo
2019-09-01	Os exercícios são bons, a instrução é clara, tem várias opções de treinos	Ruim	Usabilidade
2019-08-29	Gostei muito bem prático	Bom	Não-Informativo
2019-08-21	É bom de mais	Bom	Não-Informativo
2019-08-19	é um bom app	Bom	Não-Informativo
2019-08-15	Encrivel	Ruim	Não-Informativo
2019-08-15	 mas podia ser melhor	Ruim	Funcionalidade
2019-08-15	n faço atividade física e tenho uma pansinha	Bom	Não-Informativo
2019-08-15	fiz metade do primeiro dia e no dia seguinte meu abdômen ficou doendo	Ruim	Eficiência
2019-08-15	tive q adiar um dia a outra metade do primeiro dia	Ruim	Eficiência
